
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-272.581μm	11.1182μm	81.593μm


theta = -0.15708	 SumSqErr = 1857.64

theta = -0.15698	 SumSqErr = 1855.28

theta = -0.15688	 SumSqErr = 1852.92

theta = -0.15678	 SumSqErr = 1850.56

theta = -0.15668	 SumSqErr = 1848.21

theta = -0.15658	 SumSqErr = 1845.86

theta = -0.15648	 SumSqErr = 1843.51

theta = -0.15638	 SumSqErr = 1841.15

theta = -0.15628	 SumSqErr = 1838.81

theta = -0.15618	 SumSqErr = 1836.46

theta = -0.15608	 SumSqErr = 1834.11

theta = -0.15598	 SumSqErr = 1831.77

theta = -0.15588	 SumSqErr = 1829.43

theta = -0.15578	 SumSqErr = 1827.09

theta = -0.15568	 SumSqErr = 1824.75

theta = -0.15558	 SumSqErr = 1822.41

theta = -0.15548	 SumSqErr = 1820.07

theta = -0.15538	 SumSqErr = 1817.74

theta = -0.15528	 SumSqErr = 1815.4

theta = -0.15518	 SumSqErr = 1813.07

theta = -0.15508	 SumSqErr = 1810.74

theta = -0.15498	 SumSqErr = 1808.41

theta = -0.15488	 SumSqErr = 1806.08

theta = -0.15478	 SumSqErr = 1803.76

theta = -0.15468	 SumSqErr = 1801.43

theta = -0.15458	 SumSqErr = 1799.11

theta = -0.15448	 SumSqErr = 1796.79

theta = -0.15438	 SumSqErr = 1794.46

theta = -0.15428	 SumSqErr = 1792.15

theta = -0.15418	 SumSqErr = 1789.83

theta = -0.15408	 SumSqErr = 1787.51

theta = -0.15398	 SumSqErr = 1785.2

theta = -0.15388	 SumSqErr = 1782.88

theta = -0.15378	 SumSqErr = 1780.57

theta = -0.15368	 SumSqErr = 1778.26

theta = -0.15358	 SumSqErr = 1775.96

theta = -0.15348	 SumSqErr = 1773.65

theta = -0.15338	 SumSqErr = 1771.34

theta = -0.15328	 SumSqErr = 1769.04

theta = -0.15318	 SumSqErr = 1766.74

theta = -0.15308	 SumSqErr = 1764.44

theta = -0.15298	 SumSqErr = 1762.14

theta = -0.15288	 SumSqErr = 1759.84

theta = -0.15278	 SumSqErr = 1757.54

theta = -0.15268	 SumSqErr = 1755.25

theta = -0.15258	 SumSqErr = 1752.95

theta = -0.15248	 SumSqErr = 1750.66

theta = -0.15238	 SumSqErr = 1748.37

theta = -0.15228	 SumSqErr = 1746.08

theta = -0.15218	 SumSqErr = 1743.8

theta = -0.15208	 SumSqErr = 1741.51

theta = -0.15198	 SumSqErr = 1739.23

theta = -0.15188	 SumSqErr = 1736.94

theta = -0.15178	 SumSqErr = 1734.66

theta = -0.15168	 SumSqErr = 1732.38

theta = -0.15158	 SumSqErr = 1730.1

theta = -0.15148	 SumSqErr = 1727.82

theta = -0.15138	 SumSqErr = 1725.55

theta = -0.15128	 SumSqErr = 1723.28

theta = -0.15118	 SumSqErr = 1721

theta = -0.15108	 SumSqErr = 1718.73

theta = -0.15098	 SumSqErr = 1716.46

theta = -0.15088	 SumSqErr = 1714.19

theta = -0.15078	 SumSqErr = 1711.93

theta = -0.15068	 SumSqErr = 1709.66

theta = -0.15058	 SumSqErr = 1707.4

theta = -0.15048	 SumSqErr = 1705.14

theta = -0.15038	 SumSqErr = 1702.88

theta = -0.15028	 SumSqErr = 1700.62

theta = -0.15018	 SumSqErr = 1698.36

theta = -0.15008	 SumSqErr = 1696.1

theta = -0.14998	 SumSqErr = 1693.85

