
Processing AlignBWCE_Kok.cpp...
Shift of Center of gravity w.r.t corresponding design value
-0.0665283μm	74.4579μm	1057.42μm

theta = -0.15708	 SumSqErr = 1863.46
theta = -0.15698	 SumSqErr = 1861.1
theta = -0.15688	 SumSqErr = 1858.74
theta = -0.15678	 SumSqErr = 1856.38
theta = -0.15668	 SumSqErr = 1854.02
theta = -0.15658	 SumSqErr = 1851.66
theta = -0.15648	 SumSqErr = 1849.31
theta = -0.15638	 SumSqErr = 1846.95
theta = -0.15628	 SumSqErr = 1844.6
theta = -0.15618	 SumSqErr = 1842.25
theta = -0.15608	 SumSqErr = 1839.9
theta = -0.15598	 SumSqErr = 1837.55
theta = -0.15588	 SumSqErr = 1835.2
theta = -0.15578	 SumSqErr = 1832.86
theta = -0.15568	 SumSqErr = 1830.52
theta = -0.15558	 SumSqErr = 1828.18
theta = -0.15548	 SumSqErr = 1825.83
theta = -0.15538	 SumSqErr = 1823.49
theta = -0.15528	 SumSqErr = 1821.16
theta = -0.15518	 SumSqErr = 1818.82
theta = -0.15508	 SumSqErr = 1816.49
theta = -0.15498	 SumSqErr = 1814.15
theta = -0.15488	 SumSqErr = 1811.82
theta = -0.15478	 SumSqErr = 1809.49
theta = -0.15468	 SumSqErr = 1807.16
theta = -0.15458	 SumSqErr = 1804.83
theta = -0.15448	 SumSqErr = 1802.51
theta = -0.15438	 SumSqErr = 1800.19
theta = -0.15428	 SumSqErr = 1797.87
theta = -0.15418	 SumSqErr = 1795.54
theta = -0.15408	 SumSqErr = 1793.22
theta = -0.15398	 SumSqErr = 1790.9
theta = -0.15388	 SumSqErr = 1788.59
theta = -0.15378	 SumSqErr = 1786.27
theta = -0.15368	 SumSqErr = 1783.96
theta = -0.15358	 SumSqErr = 1781.65
theta = -0.15348	 SumSqErr = 1779.33
theta = -0.15338	 SumSqErr = 1777.03
theta = -0.15328	 SumSqErr = 1774.72
theta = -0.15318	 SumSqErr = 1772.41
theta = -0.15308	 SumSqErr = 1770.11
theta = -0.15298	 SumSqErr = 1767.8
theta = -0.15288	 SumSqErr = 1765.5
theta = -0.15278	 SumSqErr = 1763.2
theta = -0.15268	 SumSqErr = 1760.9
theta = -0.15258	 SumSqErr = 1758.61
theta = -0.15248	 SumSqErr = 1756.31
theta = -0.15238	 SumSqErr = 1754.02
theta = -0.15228	 SumSqErr = 1751.72
theta = -0.15218	 SumSqErr = 1749.43
theta = -0.15208	 SumSqErr = 1747.14
theta = -0.15198	 SumSqErr = 1744.85
theta = -0.15188	 SumSqErr = 1742.57
theta = -0.15178	 SumSqErr = 1740.28
theta = -0.15168	 SumSqErr = 1738
theta = -0.15158	 SumSqErr = 1735.71
theta = -0.15148	 SumSqErr = 1733.43
theta = -0.15138	 SumSqErr = 1731.15
theta = -0.15128	 SumSqErr = 1728.88
theta = -0.15118	 SumSqErr = 1726.6
theta = -0.15108	 SumSqErr = 1724.32
theta = -0.15098	 SumSqErr = 1722.05
theta = -0.15088	 SumSqErr = 1719.78
theta = -0.15078	 SumSqErr = 1717.51
theta = -0.15068	 SumSqErr = 1715.24
theta = -0.15058	 SumSqErr = 1712.97
theta = -0.15048	 SumSqErr = 1710.71
theta = -0.15038	 SumSqErr = 1708.44
theta = -0.15028	 SumSqErr = 1706.18
theta = -0.15018	 SumSqErr = 1703.92
theta = -0.15008	 SumSqErr = 1701.66
theta = -0.14998	 SumSqErr = 1699.4
theta = -0.14988	 SumSqErr = 1697.14
theta = -0.14978	 SumSqErr = 1694.89
theta = -0.14968	 SumSqErr = 1692.63
theta = -0.14958	 SumSqErr = 1690.38
theta = -0.14948	 SumSqErr = 1688.13
theta = -0.14938	 SumSqErr = 1685.88
theta = -0.14928	 SumSqErr = 1683.63
theta = -0.14918	 SumSqErr = 1681.38
theta = -0.14908	 SumSqErr = 1679.14
theta = -0.148979	 SumSqErr = 1676.89
theta = -0.148879	 SumSqErr = 1674.65
theta = -0.148779	 SumSqErr = 1672.41
theta = -0.148679	 SumSqErr = 1670.17
theta = -0.148579	 SumSqErr = 1667.94
theta = -0.148479	 SumSqErr = 1665.7
theta = -0.148379	 SumSqErr = 1663.46
theta = -0.148279	 SumSqErr = 1661.23
theta = -0.148179	 SumSqErr = 1659
theta = -0.148079	 SumSqErr = 1656.77
theta = -0.147979	 SumSqErr = 1654.54
theta = -0.147879	 SumSqErr = 1652.31
theta = -0.147779	 SumSqErr = 1650.09
theta = -0.147679	 SumSqErr = 1647.86
theta = -0.147579	 SumSqErr = 1645.64
theta = -0.147479	 SumSqErr = 1643.42
theta = -0.147379	 SumSqErr = 1641.2
theta = -0.147279	 SumSqErr = 1638.98
theta = -0.147179	 SumSqErr = 1636.77
theta = -0.147079	 SumSqErr = 1634.55
theta = -0.146979	 SumSqErr = 1632.33
theta = -0.146879	 SumSqErr = 1630.12
theta = -0.146779	 SumSqErr = 1627.91
